"problem","Vampire 5.0","E 3.3.0","iProver 3.9.3","CSE_E 1.7","Drodi 4.1.0","ConnectPP 0.6.1","hopCoP 0.1","LisaTT 0.9.1","Vampire 4.9","CSI_Enigma 1.0.6","cvc5 1.3.0","Zipperpin 2.1.9999","Prover9 1109a","SPASS‑SCL 0.1","LastButNotLeast 0"
"PRO010+3","+0.28","+0.39","+1.82","1.50","0.22","+1.61","+0.41","UNK‑Non","0.37","2.30","161.33","0.73","1.10","GUP‑Non","GUP‑Non"
"KRS203+1","+0.38","+153.40","+1.79","+1.63","+0.25","+0.76","TMO‑Non","TMO‑Non","0.28","2.35","160.35","0.68","1.18","112.07","GUP‑Non"
"SWB028+2","+0.37","+0.38","+2.31","+1.61","+0.30","TMO‑Non","TMO‑Non","UNK‑Non","0.38","2.50","0.47","0.76","1.03","GUP‑Non","GUP‑Non"
"CSR057+2","+0.33","+0.39","+1.85","+1.78","+0.26","+24.57","+1.23","UNK‑Non","0.29","2.84","8.42","0.78","TMO‑Non","TMO‑Non","GUP‑Non"
"MGT054+1","+0.35","+0.33","1.77","+1.60","0.25","TMO‑Non","TMO‑Non","UNK‑Non","0.32","2.25","0.49","0.70","0.98","GUP‑Non","GUP‑Non"
"MED007+1","+0.35","+39.38","+1.86","+55.04","3.27","+25.99","TMO‑Non","UNK‑Non","0.38","19.79","0.59","153.86","TMO‑Non","0.54","GUP‑Non"
"SWV408+2","+0.29","+0.45","+1.80","+1.72","+0.24","+65.16","TMO‑Non","TMO‑Non","0.31","2.25","0.49","0.73","0.94","GUP‑Non","GUP‑Non"
"KRS258+1","+0.31","+0.38","+1.80","1.50","+0.32","+0.76","TMO‑Non","TMO‑Non","0.25","2.47","21.45","0.71","1.07","179.56","GUP‑Non"
"NUM839+2","+0.33","+0.43","1.76","1.50","+0.23","+4.28","2.66","UNK‑Non","0.32","2.23","0.46","0.87","UNK‑Non","GUP‑Non","GUP‑Non"
"MED009+1","+0.36","+22.07","+1.85","+51.66","15.18","+29.35","TMO‑Non","UNK‑Non","0.39","13.23","0.55","UNK‑Non","TMO‑Non","0.57","GUP‑Non"
"SWW478+7","+0.99","+1.11","+7.78","+16.76","+1.18","+31.17","+0.83","UNK‑Non","2.14","5.94","3.65","2.63","15.61","GUP‑Non","GUP‑Non"
"GEO259+1","+0.34","+0.45","+1.80","+1.71","+0.32","+3.60","+8.09","UNK‑Non","0.57","2.36","7.18","4.97","0.91","0.42","GUP‑Non"
"MSC010+1","+0.31","+1.37","1.80","+1.64","0.24","TMO‑Non","TMO‑Non","+1.15","0.31","2.59","0.50","1.05","TMO‑Non","GUP‑Non","GUP‑Non"
"NUN087+1","+0.32","+0.61","+1.82","+7.78","1.76","+98.34","+48.43","UNK‑Non","0.31","3.08","171.62","1.08","0.91","44.09","GUP‑Non"
"ALG210+2","+0.46","+0.35","1.79","+1.62","+0.46","TMO‑Non","TMO‑Non","GUP‑Non","0.36","2.38","0.47","1.06","1.07","GUP‑Non","GUP‑Non"
"CSR034+2","+0.38","+0.67","+2.86","+1.85","+0.34","+209.12","+10.27","UNK‑Non","0.43","2.70","8.37","2.41","TMO‑Non","TMO‑Non","GUP‑Non"
"CSR015+1","+0.35","+0.40","+1.84","+1.59","0.25","TMO‑Non","+210.94","UNK‑Non","0.32","2.73","0.48","0.81","TMO‑Non","GUP‑Non","GUP‑Non"
"MGT067+1","+0.33","+0.41","+1.82","+1.61","0.24","+2.82","+0.33","UNK‑Non","0.29","2.39","TMO‑Non","0.75","1.22","9.01","GUP‑Non"
"NUM293+1","+0.34","+0.41","+1.87","1.51","+0.25","+0.40","+0.22","UNK‑Non","0.32","2.42","1.96","0.72","1.16","GUP‑Non","GUP‑Non"
"SWB012+3","+0.35","+0.57","+41.40","+2.78","7.43","TMO‑Non","TMO‑Non","UNK‑Non","0.32","3.19","29.32","4.05","UNK‑Non","TMO‑Non","GUP‑Non"
"SWW473+1","+0.45","+0.52","+1.76","1.56","+0.34","+5.17","+0.51","UNK‑Non","0.36","3.44","0.82","0.86","14.45","GUP‑Non","GUP‑Non"
"SWB014+3","+0.33","+0.56","+27.91","1.50","0.26","+218.66","TMO‑Non","UNK‑Non","0.29","2.75","4.88","1.35","16.10","TMO‑Non","GUP‑Non"
"GEO111+1","+0.25","+121.79","1.79","+1.71","+0.22","TMO‑Non","TMO‑Non","TMO‑Non","0.24","2.30","0.63","0.81","1.10","GUP‑Non","GUP‑Non"
"CSR060+2","+0.36","+0.50","3.34","+2.96","+0.37","+209.25","+0.41","UNK‑Non","0.37","2.76","4.82","1.62","TMO‑Non","TMO‑Non","GUP‑Non"
"SWV199+1","+0.34","+0.33","+1.78","+1.86","+0.24","TMO‑Non","TMO‑Non","UNK‑Non","0.33","2.36","0.55","0.80","2.29","GUP‑Non","GUP‑Non"
"KRS217+1","+0.32","+0.53","+1.83","+116.01","+0.34","+96.83","TMO‑Non","TMO‑Non","0.28","16.46","161.80","2.63","4.05","TMO‑Non","GUP‑Non"
"SEU025+1","+0.33","+0.51","1.81","+8.92","0.25","+96.91","+0.91","UNK‑Non","0.28","2.58","0.48","0.77","1.21","GUP‑Non","GUP‑Non"
"SYN938+1","+0.35","+34.72","+1.80","+1.78","0.33","TMO‑Non","UNK‑Non","UNK‑Non","0.34","3.23","164.37","1.31","TMO‑Non","TMO‑Non","GUP‑Non"
"MGT061+1","+0.40","+0.38","1.84","+1.60","+0.43","TMO‑Non","TMO‑Non","UNK‑Non","0.32","2.42","0.52","0.69","0.89","GUP‑Non","GUP‑Non"
"CSR062+2","+0.33","+0.37","+1.85","+1.73","+0.43","+25.65","+0.23","UNK‑Non","0.32","3.16","28.44","0.74","TMO‑Non","TMO‑Non","GUP‑Non"
"SET082+1","+0.31","+0.33","1.84","+1.78","+0.25","+122.10","TMO‑Non","UNK‑Non","0.32","2.27","0.64","0.64","38.57","GUP‑Non","GUP‑Non"
"SYO606+1","+0.30","+10.51","1.74","+28.85","0.36","TMO‑Non","TMO‑Non","UNK‑Non","0.29","16.53","23.78","1.16","UNK‑Non","TMO‑Non","GUP‑Non"
"NUM853+2","+0.30","+0.62","1.74","+1.78","+0.24","+0.66","0.32","UNK‑Non","0.33","2.31","0.45","1.45","UNK‑Non","GUP‑Non","GUP‑Non"
"CSR061+2","+0.33","+1.67","+2.86","+2.98","+2.33","+0.64","+20.68","UNK‑Non","0.36","3.54","43.60","3.32","TMO‑Non","TMO‑Non","GUP‑Non"
"GEO087+1","+0.33","+0.40","+1.80","1.48","+0.23","+0.27","TMO‑Non","UNK‑Non","0.32","2.31","13.17","0.61","0.92","GUP‑Non","GUP‑Non"
"CSR026+3","+1.08","+1.34","+21.82","+6.50","+0.51","+5.06","+0.69","UNK‑Non","0.82","3.97","31.86","4.93","TMO‑Non","TMO‑Non","GUP‑Non"
"CSR069+4","+1.09","+1.06","+5.37","+23.34","+1.39","+10.79","+0.80","UNK‑Non","1.06","6.79","20.50","13.06","TMO‑Non","GUP‑Non","GUP‑Non"
"CSR039+2","+0.41","+6.00","+2.85","+7.40","+4.35","+163.43","TMO‑Non","UNK‑Non","0.41","3.08","95.04","8.25","TMO‑Non","TMO‑Non","GUP‑Non"
"COM141+1","+0.30","+0.38","+1.73","1.54","+0.25","+66.41","0.63","UNK‑Non","0.32","2.76","0.53","0.67","UNK‑Non","GUP‑Non","GUP‑Non"
"SYN457+1","+0.39","+1.37","2.32","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","0.37","123.30","0.83","3.25","TMO‑Non","TMO‑Non","GUP‑Non"
"GEO271+1","+0.38","+0.65","3.31","+1.72","+0.25","+96.26","0.36","UNK‑Non","0.55","4.71","2.91","2.11","UNK‑Non","GUP‑Non","GUP‑Non"
"LCL365+1*","+0.57","+1.69","5.78","+8.65","+0.39","TMO‑Non","TMO‑Non","UNK‑Non","0.70","2.96","TMO‑Non","11.41","TMO‑Non","TMO‑Non","GUP‑Non"
"GEO084+1","+0.32","+0.38","1.78","+2.90","+0.98","+142.12","TMO‑Non","TMO‑Non","0.28","2.59","25.04","0.88","1.27","GUP‑Non","GUP‑Non"
"LCL982+1*","+0.30","+0.37","+1.79","+1.59","+0.24","+0.23","+0.28","UNK‑Non","0.27","2.28","TMO‑Non","0.62","0.89","TMO‑Non","GUP‑Non"
"SET090+1","+0.33","+0.38","1.80","+1.62","+0.23","TMO‑Non","TMO‑Non","UNK‑Non","0.31","2.08","0.67","0.79","1.07","GUP‑Non","GUP‑Non"
"CSR073+2","+0.35","+0.42","+1.87","+1.80","+0.32","+24.35","+0.24","UNK‑Non","0.33","3.13","32.49","1.07","TMO‑Non","85.75","GUP‑Non"
"NUM587+1","+0.32","+0.40","+1.76","1.49","0.26","+105.87","+0.49","UNK‑Non","0.33","2.40","0.70","0.73","1.14","GUP‑Non","GUP‑Non"
"CSR116+6","+0.55","+0.74","+56.23","+2.07","+25.74","TMO‑Non","+1.82","UNK‑Non","0.60","2.95","34.44","9.30","TMO‑Non","UNK‑Non","GUP‑Non"
"MGT039+2","+0.36","+0.40","1.72","+6.75","0.37","TMO‑Non","TMO‑Non","UNK‑Non","0.38","2.35","2.61","1.04","0.98","GUP‑Non","GUP‑Non"
"KRS260+1","+0.32","+153.37","+1.81","+11.44","+0.42","+6.18","TMO‑Non","TMO‑Non","0.34","5.21","160.65","5.70","1.09","TMO‑Non","GUP‑Non"
"SWW473+5","+0.49","+0.49","+1.70","1.55","+0.39","+0.77","+0.57","UNK‑Non","0.42","2.35","0.98","1.29","16.07","GUP‑Non","GUP‑Non"
"COM008+1","+12.11","+0.41","+1.77","+1.62","227.98","TMO‑Non","TMO‑Non","UNK‑Non","0.63","2.12","21.38","20.68","13.29","TMO‑Non","GUP‑Non"
"COM125+1","+0.33","+0.41","+1.82","1.54","+0.25","+143.00","37.13","UNK‑Non","0.29","2.63","0.53","0.80","UNK‑Non","GUP‑Non","GUP‑Non"
"CSR052+3","+0.42","+0.60","+2.06","+12.39","+1.08","+60.50","+0.40","UNK‑Non","0.45","4.06","TMO‑Non","3.80","TMO‑Non","TMO‑Non","GUP‑Non"
"SET637+3","+0.34","+0.33","+1.75","+1.60","+0.25","+7.90","TMO‑Non","TMO‑Non","0.28","2.39","0.50","0.95","1.37","GUP‑Non","GUP‑Non"
"CSR036+2","+0.53","+7.99","+2.77","+8.27","+5.37","+163.64","TMO‑Non","UNK‑Non","0.41","3.09","95.95","14.17","TMO‑Non","TMO‑Non","GUP‑Non"
"SWV455+1","+0.32","+0.48","1.78","+2.95","+0.31","TMO‑Non","TMO‑Non","UNK‑Non","0.33","2.72","0.57","1.55","1.14","GUP‑Non","GUP‑Non"
"CSR115+98","+0.47","+0.73","+2.59","+2.02","1.86","+2.45","+1.45","UNK‑Non","0.61","2.72","33.02","6.87","TMO‑Non","UNK‑Non","GUP‑Non"
"PUZ078+1","+0.34","+0.51","+1.77","+1.69","0.30","TMO‑Non","TMO‑Non","GUP‑Non","0.37","3.08","0.52","1.58","1.09","GUP‑Non","GUP‑Non"
"NUN081+1","+0.33","+0.39","+1.80","+1.61","+0.23","+0.89","+0.22","UNK‑Non","0.30","2.22","UNK‑Non","0.64","1.02","TMO‑Non","GUP‑Non"
"NUM835+1","+0.33","+0.38","1.83","1.49","+0.24","+0.32","0.22","UNK‑Non","0.31","2.31","12.69","1.00","UNK‑Non","GUP‑Non","GUP‑Non"
"SWV014+1","+0.33","+0.32","1.68","+1.58","+0.23","+161.02","+0.50","UNK‑Non","0.31","3.83","0.48","0.66","UNK‑Non","87.05","GUP‑Non"
"KRS133+1","+0.36","+0.78","+2.34","+1.83","0.50","TMO‑Non","TMO‑Non","+28.38","0.35","3.01","2.57","1.32","TMO‑Non","GUP‑Non","GUP‑Non"
"CSR115+6","+0.50","+0.70","+2.55","+2.03","2.07","+2.88","+1.11","UNK‑Non","0.57","2.88","32.71","UNK‑Non","TMO‑Non","UNK‑Non","GUP‑Non"
"AGT005+1","+0.38","+0.44","+2.29","+50.78","+0.27","+100.63","+0.64","UNK‑Non","0.40","2.56","92.64","67.30","TMO‑Non","GUP‑Non","GUP‑Non"
"NUN060+1","+0.33","+0.38","+1.81","+1.61","+0.23","+0.32","+0.22","UNK‑Non","0.30","2.26","UNK‑Non","0.67","0.92","TMO‑Non","GUP‑Non"
"GEO125+1","+0.34","+0.41","+1.83","+1.61","+0.24","+61.29","TMO‑Non","UNK‑Non","0.27","2.20","0.59","0.77","2.02","GUP‑Non","GUP‑Non"
"CSR115+91","+0.48","+0.66","+2.08","+1.97","+1.93","+2.97","+0.48","UNK‑Non","0.49","2.90","28.88","2.88","TMO‑Non","UNK‑Non","GUP‑Non"
"KLE113+1","+0.32","+0.38","+1.83","+1.60","+0.22","TMO‑Non","TMO‑Non","GUP‑Non","0.31","2.25","12.72","0.64","0.89","GUP‑Non","GUP‑Non"
"KRS234+1","+0.32","+0.39","1.79","+1.65","0.23","+25.04","+0.44","TMO‑Non","0.30","2.34","0.48","0.68","1.24","TMO‑Non","GUP‑Non"
"SWB073+1","+0.33","+0.39","+1.85","5.61","+0.37","+24.45","+50.30","UNK‑Non","0.28","4.67","2.47","0.77","GUP‑Non","GUP‑Non","GUP‑Non"
"SYO604+1","+0.37","TMO‑Non","+1.74","TMO‑Non","TMO‑Non","+25.86","TMO‑Non","UNK‑Non","0.68","TMO‑Non","12.69","UNK‑Non","TMO‑Non","3.59","GUP‑Non"
"CSR117+1","+0.34","+0.41","+2.36","+1.62","0.28","TMO‑Non","+12.03","UNK‑Non","0.32","3.76","1.03","0.80","UNK‑Non","GUP‑Non","GUP‑Non"
"CSR056+3","+0.44","+0.65","+18.75","+6.00","+1.15","+202.44","+1.15","UNK‑Non","0.47","3.80","86.80","1.58","TMO‑Non","TMO‑Non","GUP‑Non"
"SET095+1","+0.35","+0.36","1.82","+1.63","+0.31","TMO‑Non","TMO‑Non","UNK‑Non","0.29","2.41","0.48","3.84","1.04","GUP‑Non","GUP‑Non"
"KRS233+1","+0.32","+0.38","+1.80","+12.18","+0.33","+24.91","TMO‑Non","TMO‑Non","0.31","3.76","0.47","1.46","2.74","TMO‑Non","GUP‑Non"
"GEO331+1","+0.41","+0.45","1.88","+1.70","0.76","TMO‑Non","TMO‑Non","UNK‑Non","0.35","2.49","0.70","1.35","UNK‑Non","GUP‑Non","GUP‑Non"
"CSR115+31","+0.47","+0.70","+2.65","+1.98","+6.16","+209.70","+1.26","UNK‑Non","0.54","2.97","31.99","74.92","TMO‑Non","UNK‑Non","GUP‑Non"
"SWV198+1","+0.34","+109.54","+1.83","+1.62","+0.37","TMO‑Non","TMO‑Non","UNK‑Non","0.31","2.29","0.52","1.06","28.36","GUP‑Non","GUP‑Non"
