"problem","Vampire 5.0","E 3.3.0","Leo‑III 1.7.19","Vampire 4.9","Zipperpin 2.1.9999","cvc5 1.3.0"
"NUM651^1","+0.27","+0.37","+3.49","0.27","0.64","0.45"
"SEV091^5","+0.27","+0.39","+1.44","0.24","0.63","1.03"
"SEV303^5","+0.35","0.33","+2.18","0.51","3.32","UNK‑Non"
"SYN386^5","+0.28","+0.33","+1.49","0.26","0.64","TMO‑Non"
"ITP018^1","+0.29","+0.40","+2.07","0.28","0.63","0.54"
"SYO180^5","+0.25","TMO‑Non","+1.51","0.26","0.67","0.45"
"SEU641^1","+0.49","+0.51","+3.83","0.46","0.83","0.94"
"SYO527^1","+0.27","+0.38","+1.44","0.25","0.62","3.82"
"SYO304^5","+0.27","0.38","+1.69","0.27","0.63","0.48"
"SYN036^5","+0.29","+0.50","+3.43","0.28","0.77","1.00"
"SYO226^5","+0.25","+0.38","+1.38","0.25","0.67","0.62"
"PUZ031^5","+0.35","+0.39","+1.70","0.32","0.79","0.51"
"SEU765^1","+4.20","+239.99","+17.60","0.76","1.22","0.73"
"SEV148^5","+0.74","TMO‑Non","TMO‑Non","0.51","7.09","0.94"
"ITP073^1","+0.50","+0.54","TMO‑Non","0.52","4.03","0.81"
"SYO388^5","+0.31","+0.39","+1.89","0.26","0.86","157.02"
"GEG009^1","+0.48","+0.42","+1.73","0.41","2.62","0.79"
"SYO262^5","+0.27","+0.38","+1.49","0.27","0.62","UNK‑Non"
"CSR138^2","+0.45","+0.45","+2.51","0.48","1.28","1.91"
"SYO272^5","+0.29","+0.36","TMO‑Non","0.30","0.99","0.45"
"ALG271^5","+0.40","+0.32","+1.61","0.34","0.73","TMO‑Non"
"SYO391^5","+0.32","+0.41","+1.74","0.48","1.12","155.95"
"SET752^4","+0.26","+0.40","+2.57","0.27","0.66","0.46"
"PUZ094^5","+0.32","+0.38","+1.66","0.26","0.80","0.47"
"SEU742^1","+0.56","+0.87","+7.27","0.54","2.22","1.54"
"SEV164^5","+0.27","+0.38","+1.88","0.25","0.61","0.89"
"SEU874^5","+0.31","0.38","+2.98","0.32","6.71","160.56"
"SYO364^5","+0.26","+0.32","+2.37","0.28","0.68","UNK‑Non"
"ITP104^1","+1.10","+0.48","TMO‑Non","1.11","4.47","0.81"
"MSC020^5","+0.29","+0.40","TMO‑Non","0.28","0.91","1.29"
"AGT037^1","+0.38","+0.39","+1.86","0.42","0.74","0.70"
"NUM791^1","+0.26","+0.37","+1.53","0.26","0.63","0.42"
"ITP193^1","+0.92","+37.90","+4.03","0.90","1.03","1.52"
"SYN996^1","+0.27","+0.37","+1.65","0.26","0.63","UNK‑Non"
"AGT036^1","+0.33","+0.39","+2.44","0.30","0.73","0.64"
"SYO179^5","+0.32","+0.43","+1.67","0.30","1.30","0.51"
"SEV273^5","+0.26","+0.39","+5.69","0.26","0.67","UNK‑Non"
"NUM753^1","+0.27","+0.40","+1.46","0.26","0.62","122.32"
"SEU497^1","+0.29","+0.38","+1.52","0.29","0.67","0.48"
"SYO317^5","+0.27","+0.40","+126.28","0.27","0.73","134.78"
"ITP134^1","+0.52","174.85","TMO‑Non","0.64","2.69","1.15"
"SEV052^5","+0.27","+0.38","+1.47","0.28","1.05","0.74"
"SEU695^2","+0.34","+0.34","+2.59","0.34","0.84","0.68"
"SYO169^5","+0.29","+0.37","+1.58","0.29","0.82","4.83"
"SEU566^1","+0.44","+239.93","+2.68","0.42","0.72","0.69"
"SEV246^6","+1.42","0.40","TMO‑Non","1.41","6.87","1.39"
"ITP060^1","+0.35","+0.51","+12.71","0.35","2.65","122.75"
"SEV218^5","+0.25","+0.38","+1.47","0.28","0.90","0.84"
"SEU563^1","+0.37","+239.96","+2.45","0.35","0.82","0.67"
"SYO374^5","+0.26","+0.38","+1.62","0.24","0.72","0.49"
"SET753^4","+0.27","+0.38","+1.41","0.28","0.64","0.45"
"SEV382^5","+0.29","+0.65","+2.14","0.28","1.13","UNK‑Non"
"SEU754^1","+0.67","+0.84","+7.80","0.52","2.06","1.60"
"SYO324^5","+0.40","0.39","TMO‑Non","0.36","2.30","0.71"
"SYO517^1","+0.27","+0.36","+1.65","0.27","0.65","0.71"
"PUZ047^5","+0.28","+0.38","+1.69","0.28","0.65","0.54"
"SWV432^2","+0.34","+0.35","+17.24","0.31","0.79","0.60"
"SEV082^5","+0.27","+0.39","+1.51","0.27","0.97","0.74"
"SYN393^4.002","+0.35","+30.29","+22.26","0.33","0.80","0.55"
"LCL727^5","+0.42","+0.37","+2.75","0.26","0.66","1.03"
"GEG020^1","+0.48","+0.49","+1.92","0.46","14.30","163.28"
"SEV083^5","+0.26","+0.41","+1.58","0.26","1.97","0.69"
"NUM705^1","+0.27","0.98","TMO‑Non","0.28","0.73","0.48"
"SYO376^5","+0.28","+0.37","+1.89","0.27","0.65","0.46"
"SEU561^1","+0.32","+239.90","+2.52","0.26","0.66","0.52"
"CSR130^1","0.37","+0.37","+2.44","0.35","0.64","0.46"
"SEV420^1","+0.38","+0.43","+1.75","0.41","0.65","0.78"
"SEV384^5","+0.29","+0.64","+6.22","0.29","1.00","UNK‑Non"
"ITP170^1","+0.55","+0.51","TMO‑Non","0.38","0.86","0.70"
"CSR131^1","0.38","+0.39","+9.24","0.37","1.06","0.49"
"CSR140^2","+0.27","+0.38","+1.56","0.27","0.64","0.46"
"SYO560^1","+1.35","+0.38","+2.25","0.62","0.66","0.87"
"SEU496^1","+0.34","+3.99","+5.15","0.32","2.28","121.67"
"SEV019^5","+0.28","+0.37","+1.46","0.26","0.77","1.47"
"ALG285^5","+0.30","+0.36","+1.52","0.32","0.65","TMO‑Non"
"SYO264^5","+0.30","+0.66","+3.76","0.28","2.27","1.08"
"SET606^3","+0.27","+0.37","+1.59","0.27","0.64","0.44"
"NUM760^1","+0.30","+0.34","+1.82","0.28","0.65","122.18"
"MSC025^2","+0.30","+131.57","+2.86","0.27","0.64","0.58"
"SYO387^5","+0.29","+0.38","+1.67","0.28","1.00","155.27"
"SEU768^1","+6.18","+0.91","+10.21","25.92","19.65","2.58"
"SEV086^5","+0.27","+0.40","+1.73","0.29","3.72","1.13"
"SEU875^5","+0.36","2.08","+4.07","0.34","4.40","120.82"
"SEV156^5","+0.45","TMO‑Non","TMO‑Non","0.51","37.62","122.17"
"SEU687^2","+0.28","+0.38","+2.35","0.24","0.91","0.53"
"SEV244^6","+3.25","0.40","TMO‑Non","5.01","9.00","120.75"
"AGT034^1","+0.58","+0.39","+2.64","0.47","1.17","0.55"
"SEV084^5","+0.26","+0.37","+2.06","0.27","0.89","0.71"
"ITP056^1","+0.38","+0.49","TMO‑Non","0.32","1.10","0.63"
"SEV085^5","+0.24","+0.37","UNK‑Non","0.25","2.78","2.45"
"ITP046^1","+0.57","+0.99","+73.84","0.94","4.96","121.32"
"SEV252^5","+3.22","0.43","TMO‑Non","6.29","10.42","120.65"
"SEU704^2","+0.40","+0.38","+6.84","0.39","1.09","0.52"
"SEV153^5","+0.45","TMO‑Non","+17.99","0.47","7.11","1.00"
"SET640^3","+0.28","+0.38","+1.32","0.28","0.65","0.45"
"SYO174^5","+0.39","TMO‑Non","TMO‑Non","0.39","6.24","2.29"
"SEV300^5","+0.53","+0.35","+3.82","0.44","8.71","0.74"
"SEV154^5","+1.78","TMO‑Non","+18.35","0.47","7.26","3.60"
"SEV158^5","+0.31","+0.42","+1.93","0.30","6.64","0.92"
"NUM762^1","+0.28","+0.37","+2.37","0.28","0.67","121.45"
"SEU498^1","+0.29","+0.38","+1.59","0.29","0.66","0.51"
"SEV064^5","+0.32","+0.69","TMO‑Non","0.32","15.24","0.84"
"ITP125^1","+0.59","+0.47","+5.90","0.62","3.75","TMO‑Non"
"SYO288^5","+0.29","GUP‑Non","+1.43","0.28","0.62","2.37"
"SET601^3","+0.30","+0.38","+1.83","0.27","0.64","0.45"
"SYO173^5","+0.33","+0.36","+1.94","0.35","0.79","UNK‑Non"
"ITP139^1","+0.67","+0.52","TMO‑Non","0.61","1.12","0.85"
"SEU948^5","+0.90","+0.39","+11.76","1.39","41.90","UNK‑Non"
"SEU705^2","+0.42","+0.39","+2.24","0.49","0.68","164.56"
"SYO287^5","+0.26","GUP‑Non","+2.13","0.28","0.66","2.04"
"SEU597^1","+2.23","+239.91","+4.67","2.71","0.72","0.77"
"SEV157^5","+0.52","TMO‑Non","+18.63","0.47","6.89","121.63"
"QUA005^1","+0.56","0.40","+6.74","0.55","0.69","UNK‑Non"
"SEU960^5","+0.72","+0.38","+7.88","0.61","1.63","UNK‑Non"
"SEU613^2","+0.28","+0.38","+1.48","0.27","0.65","0.44"
"SEV066^5","+0.30","+0.54","TMO‑Non","0.28","6.98","0.82"
"NUM416^1","+0.31","+0.63","+2.85","0.29","0.71","0.51"
"SEV155^5","+0.67","TMO‑Non","+22.27","0.49","7.08","122.03"
"ITP117^1","+0.44","+0.47","+12.00","0.46","0.70","UNK‑Non"
"GRA030^1","+3.28","+0.39","TMO‑Non","1.06","9.31","1.02"
"SEU558^2","+0.42","+0.46","+1.57","0.44","7.90","121.19"
"SYO548^1","+0.41","GUP‑Non","+1.84","0.41","0.67","0.95"
"CSR149^2","+0.37","+0.36","+2.46","0.34","0.67","3.02"
"SEV400^5","+0.71","+130.92","TMO‑Non","0.64","21.09","3.49"
"SEU656^2","+0.52","+0.37","+2.05","0.71","10.24","UNK‑Non"
"SEU939^5","+11.65","+0.39","TMO‑Non","9.98","79.88","UNK‑Non"
"LCL960^12","+0.40","+0.39","+2.13","0.41","0.76","10.72"
"LCL728^5","+0.76","TMO‑Non","TMO‑Non","4.22","46.85","0.79"
"SEU652^1","+0.53","+0.46","+4.67","0.51","0.81","1.01"
"SYO269^5","+10.23","+0.40","TMO‑Non","11.08","66.22","UNK‑Non"
"ALG268^2","+0.47","+0.43","+1.96","0.47","4.45","1.23"
"SEV101^5","+0.30","+0.52","TMO‑Non","0.27","18.24","1.45"
"SEU456^1","+0.27","+0.37","+1.96","0.28","0.62","0.48"
"SYO209^5","+0.29","GUP‑Non","+4.71","0.31","25.36","5.90"
"SCT171^2","+0.51","+0.47","+4.61","0.55","1.04","0.89"
"GRA027^1","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non"
"SEU707^2","+0.35","+0.47","+2.04","0.36","0.69","160.62"
"GRA028^1","+0.71","+0.62","+101.61","0.50","21.89","UNK‑Non"
"SEU699^2","+0.30","+0.43","+18.30","0.33","8.27","0.48"
"SYO334^5","+0.29","+0.38","+2.32","0.31","0.67","UNK‑Non"
"SEU632^1","+2.99","+124.02","+8.53","2.78","0.74","1.04"
"SEU940^5","+0.31","+0.39","TMO‑Non","0.24","0.79","0.98"
"SEU474^1","+0.27","+0.39","+1.59","0.25","0.59","0.47"
"SEV071^5","TMO‑Non","GUP‑Non","TMO‑Non","160.57","UNK‑Non","UNK‑Non"
"SEU708^2","+0.47","+0.38","+1.83","0.53","0.78","160.54"
"SEV072^5","+0.74","GUP‑Non","TMO‑Non","0.73","UNK‑Non","UNK‑Non"
"SYO541^1","+0.26","+0.38","+1.93","0.22","0.67","0.61"
"SEV165^5","+0.79","TMO‑Non","+5.02","0.74","3.91","UNK‑Non"
"SEU750^1","+0.58","+0.91","+10.02","0.56","0.83","1.52"
"SEV317^5","+2.66","+3.88","TMO‑Non","2.94","UNK‑Non","UNK‑Non"
"ITP043^1","+0.80","+0.50","+3.48","0.71","4.01","0.69"
"SEV050^5","+6.76","GUP‑Non","TMO‑Non","6.72","96.32","UNK‑Non"
"SYO030^1","+0.26","+0.37","+1.63","0.26","0.87","1.85"
"SEV113^5","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non"
"SET575^7","+0.47","+0.59","+3.03","0.92","14.98","3.41"
"SEV319^6","+4.09","+5.46","TMO‑Non","4.16","11.23","UNK‑Non"
"SET598^5","+0.52","+0.66","TMO‑Non","0.44","1.58","1.12"
"SEV321^5","+2.45","+5.85","TMO‑Non","5.38","7.27","UNK‑Non"
"LCL594^1","+0.31","+0.35","+1.59","0.24","0.51","0.64"
"SEV319^5","+2.85","+5.53","TMO‑Non","4.68","112.31","UNK‑Non"
"ITP173^1","+0.47","+0.61","TMO‑Non","0.45","0.82","0.94"
"SEV318^5","+2.65","+3.44","TMO‑Non","4.37","UNK‑Non","UNK‑Non"
"SEU686^2","+0.37","+0.42","+2.53","0.35","0.79","0.50"
"SYO330^5","+5.28","+0.52","TMO‑Non","4.78","9.43","UNK‑Non"
"SEU469^1","+0.34","+0.41","+1.70","0.36","1.28","0.52"
"SEV414^5","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non"
"AGT031^1","+1.07","+0.35","+2.69","0.52","1.26","121.03"
"SYO533^1","+0.62","GUP‑Non","TMO‑Non","0.63","41.48","UNK‑Non"
"SET615^3","+0.25","+0.37","+1.65","0.27","0.61","0.44"
"SYO338^5","+2.86","+4.12","TMO‑Non","9.63","11.04","UNK‑Non"
"SYO224^5","+0.28","+0.55","+2.89","0.28","0.66","0.75"
"MSC021^5","+7.93","GUP‑Non","TMO‑Non","4.53","UNK‑Non","UNK‑Non"
"SEU583^1","+0.37","+239.91","+2.81","0.33","1.04","0.51"
"SYO332^5","+145.40","TMO‑Non","TMO‑Non","237.69","42.83","1.75"
"ITP190^1","+0.76","+0.64","TMO‑Non","0.67","4.02","0.77"
"SYO509^1","+0.72","GUP‑Non","TMO‑Non","0.70","41.42","UNK‑Non"
"LCL690^1","+8.47","+0.40","+17.41","4.41","6.26","UNK‑Non"
"SYO337^5","+2.75","TMO‑Non","TMO‑Non","2.86","UNK‑Non","UNK‑Non"
"ITP108^1","+0.48","0.46","+31.50","0.44","1.84","0.70"
"SYO335^5","+0.94","GUP‑Non","TMO‑Non","1.43","UNK‑Non","UNK‑Non"
"ITP140^1","+0.50","+0.51","+2.86","0.47","0.86","121.61"
"SEV068^5","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non"
"SWV061^7","+0.54","+0.68","+9.93","0.66","1.04","1.40"
"SEV305^6","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non"
"ITP075^1","+0.41","+0.43","+3.48","0.39","1.26","0.75"
"SYO275^5","+2.54","TMO‑Non","TMO‑Non","2.67","UNK‑Non","UNK‑Non"
"SYO545^1","0.72","+0.42","+22.33","0.99","1.68","0.71"
"SEV312^5","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non"
"SYO025^1","+0.25","+0.38","+1.48","0.27","0.61","0.43"
"SEV069^6","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non"
"ITP088^1","+1.04","+0.78","+118.97","0.91","5.72","0.85"
"GRA029^2","TMO‑Non","+0.45","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non"
"ITP058^1","+0.39","+0.58","TMO‑Non","0.41","1.14","0.74"
"GRA074^2","TMO‑Non","+1.33","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non"
