"problem","Vampire 5.0.1","Vampire 5.0","E 3.5.1","CSI_PP 1.0","iProver 3.9.4","Drodi 4.1.1","LisaST 0.9","Zipperpin 2.1.9999","Prover9 2026‑6A","Prover9 1109a","FindProof 0.1","mrs 0.2.0","SUPr 1.0","ConnectPP 0.7.2","VIP 1.718","SATResetCoP 1.0","SPASS‑SCL 0.1.1"
"SWX199+1*","+1.31","+0.43","+0.38","+0.66","+2.75","+0.65","+5.93","+0.84","+0.44","+0.57","+4.14","+18.93","UNK","TMO","TMO","UNK","GUP"
"LCL646+1.010","+29.35","+42.87","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","GUP","UNK","UNK","TMO","TMO","UNK","TMO"
"SWW394+1","+2.13","+2.20","+2.26","+1.11","+13.37","+0.71","+14.45","+4.56","+13.67","TMO","+160.62","UNK","+23.44","+35.71","TMO","UNK","GUP"
"SYN353+1","+1.71","+0.64","+0.51","+0.43","+1.03","+0.42","+2.26","+0.97","+0.78","+1.20","+1.99","+54.56","UNK","TMO","TMO","UNK","TMO"
"SWV474+1","+1.52","+0.70","+26.97","+3.74","+1.70","TMO","TMO","+6.02","+10.48","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"LCL393+2","+10.58","TMO","TMO","TMO","TMO","TMO","GUP","UNK","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","TMO"
"ITP004+1","+1.49","+1.13","+0.61","+0.73","+1.61","+23.06","+87.24","UNK","+0.80","+1.28","+16.12","UNK","TMO","TMO","TMO","UNK","GUP"
"NUN075+1","+3.33","TMO","TMO","TMO","TMO","TMO","+52.86","UNK","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","TMO"
"SWW473+6","+1.81","+0.69","+1.28","+1.38","+4.26","+2.67","+5.74","+3.50","TMO","TMO","TMO","UNK","UNK","+99.59","TMO","UNK","GUP"
"NUN057+1","+6.59","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","TMO"
"SWW474+3","+1.41","+0.85","+1.04","+1.11","+4.87","TMO","+82.08","+5.49","+34.24","UNK","TMO","TMO","+60.22","TMO","TMO","UNK","GUP"
"LCL073+1","+57.74","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","TMO"
"SEU269+1","+1.38","+0.50","+171.13","UNK","+4.45","+0.42","TMO","+1.46","+3.78","TMO","TMO","UNK","UNK","+99.44","TMO","UNK","GUP"
"SYO525+1.024","+21.70","+0.86","+1.49","+135.46","TMO","177.64","TMO","+137.57","TMO","UNK","GUP","UNK","GUP","TMO","TMO","UNK","TMO"
"GEO528+1","+3.76","+0.81","+2.61","+1.70","+51.31","+3.46","+23.75","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"LCL391+2","+4.22","TMO","TMO","TMO","TMO","TMO","GUP","UNK","UNK","TMO","TMO","TMO","UNK","TMO","TMO","UNK","TMO"
"SWB021+2","+2.05","+0.73","+0.49","+0.55","+6.95","+1.04","+9.25","+1.77","+29.34","+17.76","+4.00","UNK","UNK","TMO","TMO","UNK","GUP"
"SYO525+1.027","TMO","+1.24","+1.75","+135.58","TMO","TMO","TMO","UNK","TMO","UNK","GUP","UNK","GUP","TMO","TMO","UNK","+68.10"
"SWX187+1*","+1.38","+0.57","+0.53","+0.49","+1.17","+0.49","+4.34","+1.04","+0.41","+0.60","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"LCL646+1.015","+33.86","+34.28","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","GUP","TMO","UNK","TMO","TMO","UNK","TMO"
"MGT068+1*","+1.74","+0.63","+3.74","+3.90","+16.12","+0.58","+10.10","+140.06","TMO","TMO","TMO","UNK","UNK","+108.85","TMO","UNK","GUP"
"LAT258+1","+22.49","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","GUP","TMO","TMO","UNK","TMO"
"SEV637+1*","+3.72","+1.23","+0.87","+1.27","+4.66","TMO","+19.90","+6.59","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK","GUP"
"NUN086+1","+4.02","+1.18","+3.77","+10.14","+1.31","+51.08","+2.35","+79.58","UNK","TMO","TMO","UNK","UNK","TMO","TMO","UNK","TMO"
"GEO282+1","+1.62","+0.78","+0.54","+1.30","+10.38","+33.06","+6.08","+25.09","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"LCL979+1","+67.75","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"SET733+4","+1.30","+0.54","+0.63","+0.69","+1.16","TMO","TMO","UNK","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","GUP"
"LCL638+1.020","+82.77","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","GUP","TMO","TMO","TMO","TMO","UNK","TMO"
"GEO494+1","+2.62","+0.99","+0.88","+1.38","+21.42","+33.25","+8.37","+9.82","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"SYO525+1.030","TMO","+1.67","+1.38","+135.57","TMO","TMO","TMO","UNK","TMO","UNK","GUP","UNK","GUP","TMO","TMO","UNK","+109.13"
"NUM335+1","+1.42","+0.58","+0.46","+0.46","+2.36","+0.59","+11.50","UNK","UNK","+112.03","TMO","UNK","+1.28","+133.45","TMO","UNK","GUP"
"LCL062+2","+14.77","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","TMO"
"SWV487+3","+1.59","+0.43","+80.28","+47.79","+1.24","+0.58","+115.04","+1.36","+25.62","TMO","TMO","+7.78","UNK","+121.57","TMO","UNK","GUP"
"LCL666+1.010","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","TMO"
"ITP023+2","+1.29","+0.50","+0.79","+2.34","+1.16","+0.74","+6.18","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"LCL662+1.020","TMO","TMO","TMO","UNK","TMO","TMO","GUP","UNK","TMO","TMO","TMO","TMO","GUP","TMO","TMO","UNK","TMO"
"SWW298+1","+1.97","+0.98","+1.15","+1.14","+21.41","+0.83","+22.48","+2.55","+20.73","TMO","TMO","UNK","+15.28","+48.47","+20.01","UNK","GUP"
"GEO298+1","+1.57","+1.46","+1.45","+2.30","+19.73","+0.63","TMO","UNK","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"NUM860+1","+4.91","+2.10","+3.93","+3.99","+10.81","TMO","+68.43","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"SWB047+1","+1.56","+0.65","+3.48","+4.77","+49.98","+6.25","+14.89","+3.51","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"SWB040+1","+1.75","+0.71","+3.68","+2.30","+48.33","+3.55","+19.97","+1.08","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"ITP013+1","+2.39","+0.58","+0.63","+0.51","+1.40","+0.56","TMO","+3.36","+1.46","+0.94","+21.37","+12.61","UNK","TMO","TMO","UNK","GUP"
"SET716+4","+2.19","+0.45","+20.04","+0.52","+4.77","TMO","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"NUM859+1","+4.43","+1.59","+1.56","+0.93","+7.03","+2.61","TMO","+32.37","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"GEO523+1","+3.02","+0.71","+0.50","+0.56","+1.59","+5.34","+34.17","+6.57","+3.33","TMO","TMO","+90.57","UNK","TMO","TMO","UNK","GUP"
"SWX197+1*","+4.19","+0.53","+10.84","+11.78","TMO","+11.61","TMO","UNK","UNK","UNK","+22.41","TMO","UNK","TMO","TMO","UNK","GUP"
"GRP654+1","+37.86","TMO","TMO","TMO","TMO","TMO","TMO","UNK","+14.41","TMO","+5.64","TMO","UNK","TMO","GUP","UNK","GUP"
"SWX223+1*","+2.08","+0.66","+0.95","+0.76","+2.68","+0.39","+3.20","+1.27","+37.37","+24.29","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"SEV646+1*","+1.63","+0.91","+0.85","+0.97","+3.36","TMO","+13.83","+108.78","UNK","TMO","TMO","TMO","+54.43","TMO","TMO","UNK","GUP"
"SWX224+1*","+1.43","+0.63","+1.82","+4.02","+1.14","+0.45","+2.59","+1.40","+0.50","+39.68","+12.15","+31.57","UNK","TMO","TMO","UNK","GUP"
"SEV677+1*","+1.76","+0.80","+0.79","+0.98","+2.24","TMO","+8.72","+4.15","UNK","TMO","TMO","TMO","UNK","TMO","UNK","UNK","GUP"
"SWB032+1","+2.06","+0.55","+0.48","+0.47","+3.03","+16.70","+6.66","+1.10","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"SWV234+2","+3.52","+1.49","+0.49","+0.52","+54.94","+0.83","+6.80","+2.44","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"SET964+1","+1.27","+0.46","+0.56","+0.51","+1.17","+0.45","+1.98","+1.86","+22.33","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"COM139+1","+2.61","+1.38","+0.65","+0.68","+147.44","+58.24","TMO","+88.66","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"SWB023+1","+1.32","+0.63","+0.61","+0.61","+3.76","+4.05","+7.84","+0.92","TMO","TMO","+11.38","UNK","UNK","TMO","TMO","UNK","GUP"
"GRA008+1","+2.30","+8.07","+0.49","+0.57","+1.84","+1.89","TMO","+3.87","+100.95","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"CSR038+4","+2.70","+2.67","+1.10","+1.69","+3.34","+18.70","+17.39","+32.47","+0.87","TMO","TMO","UNK","+46.21","TMO","TMO","UNK","GUP"
"GEO093+1","+1.60","+0.55","+0.66","+1.20","+3.97","+0.53","+6.18","UNK","TMO","TMO","TMO","UNK","UNK","+57.43","TMO","UNK","GUP"
"SWX219+1*","+1.68","+0.54","+6.99","+8.78","+1.91","+1.04","+4.42","+26.94","+48.13","+21.21","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"SEV629+1*","+2.43","+0.79","+0.63","+0.72","+0.96","+131.07","+8.39","+2.33","UNK","TMO","TMO","TMO","+24.88","TMO","TMO","UNK","GUP"
"SWW278+1","+2.20","+4.20","+1.71","+1.43","TMO","+0.67","TMO","+21.02","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"CSR005+2","+3.00","+0.63","+3.46","+4.28","+39.81","TMO","+26.75","+6.13","UNK","+140.39","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"GEO285+1","+0.81","+0.74","+0.50","+1.05","+18.48","+34.78","+10.58","+8.75","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"GEO306+1","+1.71","+0.57","+0.94","+1.02","+7.85","+3.82","TMO","+4.02","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"SCT155+1","+1.34","+0.41","+0.45","+0.53","+1.16","TMO","TMO","+21.32","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"SEV569+1","+3.09","+1.90","TMO","TMO","+15.88","+14.23","+6.60","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"SCT123+1","+2.22","+1.18","TMO","TMO","TMO","+8.38","+26.36","+6.62","TMO","+60.43","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"NUM321+1","+0.86","+0.59","+6.37","+0.80","+2.99","+2.97","+3.29","+4.24","UNK","+57.89","TMO","UNK","+0.83","TMO","TMO","UNK","GUP"
"COM008+2","+3.16","+2.59","+0.59","+0.53","+5.21","+1.42","TMO","UNK","+28.07","+9.45","GUP","TMO","GUP","TMO","TMO","UNK","GUP"
"SWW350+1","+3.14","+0.90","+1.03","+1.11","+45.11","+3.60","+18.08","+2.57","+2.68","TMO","TMO","TMO","TMO","TMO","TMO","UNK","GUP"
"SWB046+1","+2.20","+0.61","+4.46","+5.50","+51.60","TMO","+8.45","+1.02","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"MGT035+2","+2.76","+0.92","+7.21","+16.96","+2.94","TMO","TMO","+87.35","UNK","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"KLE169+1","+2.99","+0.99","+114.02","+114.62","+11.13","TMO","+42.51","UNK","+18.10","TMO","TMO","UNK","TMO","TMO","TMO","UNK","GUP"
"KLE100+1","+1.94","+2.71","+0.68","+0.73","+3.38","+33.76","TMO","+19.31","+53.35","+28.99","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"GEO089+1","+1.64","+1.49","+26.55","+4.10","+16.13","TMO","TMO","UNK","TMO","TMO","TMO","UNK","+79.77","TMO","TMO","UNK","GUP"
"SWX221+1*","+1.53","+1.22","+0.88","+1.04","+3.34","+0.54","+4.74","+2.94","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"SEV679+1*","+1.49","+1.31","TMO","TMO","+6.81","+2.98","+6.15","+4.46","UNK","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"SEV656+1*","+6.53","+82.74","+15.28","+6.11","136.37","+21.65","TMO","+60.58","UNK","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"CSR066+5","+34.70","+25.17","+34.70","+11.49","+35.01","+164.76","+78.30","TMO","+12.54","TMO","TMO","TMO","TMO","TMO","UNK","UNK","GUP"
"TOP029+1","+1.95","+16.09","+2.36","+2.24","+27.81","TMO","+40.83","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"COM131+1","+2.19","+3.65","+0.88","+1.12","+123.46","TMO","TMO","UNK","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"ITP006+2","+1.29","+1.15","+1.85","+0.77","+2.26","+7.44","+9.08","+3.87","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"COM136+1","+1.50","+12.84","+0.60","+0.70","+164.67","TMO","+2.90","+129.85","TMO","TMO","TMO","UNK","UNK","TMO","TMO","TMO","GUP"
"SWW374+1","+2.23","+1.06","+6.24","+2.40","TMO","TMO","TMO","+57.41","+82.93","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"SCT120+1","+1.85","+0.78","+92.55","+32.50","TMO","+20.14","+5.57","+42.32","+106.57","+52.84","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"GEO308+1","+4.15","+0.67","TMO","UNK","+6.46","+1.51","TMO","UNK","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"GEO307+1","+2.51","+0.65","TMO","UNK","+11.59","+0.33","TMO","UNK","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"GEO321+1","+4.33","+2.73","TMO","UNK","+5.23","+1.76","TMO","UNK","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"ALG213+1","+24.62","+34.49","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"SEV673+1*","+4.15","+1.56","+20.91","+9.10","133.95","TMO","+66.14","+70.28","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK","GUP"
"SWX240_1*","+41.70","+1.34","+0.90","+0.84","+144.75","+21.96","+72.93","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"SEV655+1*","+3.14","TMO","+133.57","+58.10","TMO","TMO","TMO","+147.10","UNK","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"SWX220+1*","+1.37","+0.49","+10.33","+97.08","+2.24","+1.06","+4.40","+4.89","+70.64","+13.29","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"NUM639+4","+1.88","+3.19","+15.71","+20.02","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"LCL556+1","+3.41","+3.32","+1.26","+1.11","+77.27","+14.03","TMO","UNK","TMO","TMO","TMO","UNK","GUP","TMO","TMO","UNK","GUP"
"SCT158+1","+2.10","+0.51","+0.47","+0.70","+1.25","TMO","+10.90","+2.23","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"ITP020+2","+1.62","+0.53","+13.27","+0.51","+5.44","+0.92","+50.67","+6.84","TMO","TMO","TMO","UNK","UNK","TMO","TMO","+164.76","GUP"
"SWB068+1","+1.94","+0.61","+0.56","+0.67","+1.07","+35.96","+9.96","+34.17","TMO","UNK","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"SEV667+1*","+2.46","+0.81","+6.88","+8.56","+1.82","TMO","TMO","+2.33","UNK","TMO","TMO","TMO","+96.95","TMO","TMO","UNK","GUP"
"SEV610+1*","+2.24","+0.89","+0.84","+1.05","+1.71","+153.37","+9.11","UNK","UNK","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"SEV643+1*","+8.10","+8.46","+0.81","+0.95","+10.51","TMO","+32.63","+5.43","UNK","UNK","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"SEV661+1*","+2.37","+1.69","+1.05","+0.91","+73.12","TMO","+8.02","UNK","UNK","TMO","GUP","TMO","UNK","TMO","TMO","UNK","GUP"
"AGT007+2","+3.30","+0.98","+4.19","+5.44","+57.95","TMO","+19.12","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"SWB012+1","+1.67","+1.60","TMO","TMO","TMO","TMO","TMO","+40.99","TMO","TMO","+18.08","UNK","UNK","TMO","TMO","UNK","GUP"
"SEU427+4","+10.10","+16.51","+7.05","+16.46","TMO","+33.16","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"SWB063+1","+2.42","+0.45","TMO","TMO","+50.62","+122.99","+7.37","+0.92","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"CSR050+5","+36.41","+24.34","+24.77","+21.83","+155.91","+173.00","TMO","TMO","GUP","TMO","TMO","TMO","TMO","TMO","UNK","UNK","GUP"
"SCT117+1","+1.82","+0.54","+23.84","+135.62","+50.28","TMO","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"SCT115+1","+1.75","+1.25","+20.44","+135.51","TMO","+11.61","+22.54","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"SEV581+1","+2.71","+0.55","TMO","TMO","+164.62","+162.81","TMO","UNK","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"LCL898+1","+2.61","TMO","+20.55","+0.92","TMO","TMO","TMO","UNK","TMO","UNK","+11.31","UNK","UNK","TMO","TMO","UNK","GUP"
"SWV467+1","+1.77","+0.54","TMO","TMO","+5.92","TMO","TMO","+134.56","TMO","TMO","+107.15","UNK","UNK","TMO","TMO","UNK","GUP"
"SWB027+1","+1.72","+0.69","+0.47","+0.56","+69.53","TMO","TMO","+3.69","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"SWX241_1*","+39.28","+0.78","+0.91","+1.03","+149.47","+169.94","+97.12","UNK","UNK","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"SEV609+1*","+2.88","+0.66","+2.53","+3.35","+5.54","TMO","+65.99","+12.96","UNK","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"SEV607+1*","+30.95","+3.90","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"SEV660+1*","+3.57","+0.76","+0.72","+0.75","+2.01","+125.11","+8.94","+4.05","UNK","TMO","TMO","TMO","+12.59","TMO","TMO","UNK","GUP"
"NUM694+4","+4.23","+2.34","+2.33","+3.64","+97.25","TMO","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
